Date,Symbols,Close,High,Low,Open,Volume
2021-02-08,AMZN,3322.94,3364.9999,3304.0,3358.5,3257391
2021-02-08,AAPL,136.11,136.16,134.12,135.23,71720967
2021-02-08,GOOGL,2084.52,2115.0,2063.35,2100.0,1441443
2021-02-08,FB,266.58,269.86,265.0,268.75,13755191
2021-02-08,MRNA,185.98,189.26,176.81,177.0,12940157
2021-02-08,BA,211.95,211.99,208.3,209.55,11182088
2021-02-08,TSLA,863.42,877.77,854.75,869.67,20161719
2021-02-08,MSFT,239.95,241.16,238.32,240.63,22444430
2021-02-08,V,205.3,209.01,204.32,208.37,8704270
2021-02-08,MA,334.91,339.34,333.42,337.86,2669620
2021-02-05,AMZN,3352.15,3377.0,3302.71,3319.0,3620808
2021-02-05,AAPL,135.96,136.61,135.06,136.54,76143713
2021-02-05,GOOGL,2088.83,2095.94,2050.0,2059.56,1493256
2021-02-05,FB,268.1,269.17,265.67,266.8,12454367
2021-02-05,MRNA,176.24,177.5,170.26,170.99,8990045
2021-02-05,BA,207.93,213.1988,206.66,212.25,9546076
2021-02-05,TSLA,852.23,864.77,838.97,845.0,18566637
2021-02-05,MSFT,239.68,240.76,237.93,239.71,18243738
2021-02-05,V,207.16,208.5,207.05,208.36,10363958
2021-02-05,MA,336.61,342.17,335.26,340.36,2983596
2021-02-04,AMZN,3331.0,3347.0,3277.75,3330.0,3670661
2021-02-04,AAPL,136.38,136.39,133.59,135.3,84809945
2021-02-04,GOOGL,2053.63,2069.3,2035.1,2060.6156,2429780
2021-02-04,FB,266.49,268.16,264.0,267.01,16059958
2021-02-04,MRNA,173.31,173.73,164.25,166.42,10618280
2021-02-04,BA,210.64,212.48,208.02,209.87,11869930
2021-02-04,TSLA,849.99,856.5,833.42,855.0,15812661
2021-02-04,MSFT,239.49,240.72,237.88,240.14,25560882
2021-02-04,V,207.64,208.06,201.53,201.66,14647825
2021-02-04,MA,338.68,341.09,332.95,333.26,4566484
2021-02-03,AMZN,3312.53,3434.0,3308.62,3425.01,7088781
2021-02-03,AAPL,132.95,134.77,132.62,134.76,90550252
2021-02-03,GOOGL,2058.88,2106.6234,2013.55,2065.61,4894082
2021-02-03,FB,266.65,269.2,263.84,265.62,14223377
2021-02-03,MRNA,165.86,168.39,156.4,156.6,11355915
2021-02-03,BA,207.39,208.16,201.2606,202.0,11836856
2021-02-03,TSLA,854.69,878.08,853.0646,877.02,18343510
2021-02-03,MSFT,240.48,242.56,236.78,237.09,27442379
2021-02-03,V,199.81,201.93,199.44,201.5,13563347
2021-02-03,MA,330.73,333.89,328.98,331.73,4062368
2021-02-02,AMZN,3380.0,3427.74,3361.125,3380.0,7098637
2021-02-02,AAPL,133.99,135.31,133.61,134.73,83925715
2021-02-02,GOOGL,1919.12,1949.37,1906.37,1913.13,3316620
2021-02-02,FB,267.08,268.85,263.27,264.0,17320788
2021-02-02,MRNA,158.58,159.054,147.1,158.52,14923862
2021-02-02,BA,200.94,203.03,198.09,198.98,11130617
2021-02-02,TSLA,872.79,880.5,842.2006,844.68,24346213
2021-02-02,MSFT,237.03,239.79,236.22,238.81,26187612
2021-02-02,V,201.05,202.76,198.46,199.31,11393003
2021-02-02,MA,332.26,334.04,321.41,321.41,5722118
2021-02-01,AMZN,3342.88,3350.26,3235.025,3242.36,4160212
2021-02-01,AAPL,133.15,134.38,129.95,132.76,107030956
2021-02-01,GOOGL,1893.07,1915.54,1844.585,1844.585,2012603
2021-02-01,FB,262.01,264.17,254.91,259.52,22914255
2021-02-01,MRNA,157.48,174.5,154.3,173.03,22056533
2021-02-01,BA,195.84,197.38,192.86,196.0,9061904
2021-02-01,TSLA,839.81,842.0,795.5601,814.29,25391385
2021-02-01,MSFT,237.17,239.98,230.03,232.62,33662904
2021-02-01,V,196.82,197.67,193.53,193.64,13071581
2021-02-01,MA,319.54,321.48,315.58,318.89,4961998
2021-01-29,AMZN,3206.2,3236.99,3184.55,3230.0,4293556
2021-01-29,AAPL,130.98,135.74,129.26,134.83,178845774
2021-01-29,GOOGL,1827.36,1847.535,1801.5601,1834.02,2226509
2021-01-29,FB,258.33,266.56,254.85,265.3,30389499
2021-01-29,MRNA,173.16,185.98,166.2001,174.99,39687298
2021-01-29,BA,194.19,201.57,193.1201,198.3,13683736
2021-01-29,TSLA,793.53,842.41,780.1,830.0003,34990754
2021-01-29,MSFT,229.57,235.55,228.96,233.55,42948033
2021-01-29,V,191.76,201.48,191.32,196.28,21670320
2021-01-29,MA,314.29,323.62,310.41,321.76,7675569
2021-01-28,AMZN,3237.62,3301.68,3228.69,3235.04,3149228
2021-01-28,AAPL,136.09,140.94,135.7,138.48,143683181
2021-01-28,GOOGL,1853.2,1887.99,1831.0,1831.0,2763905
2021-01-28,FB,265.0,286.79,264.7,277.18,37758844
2021-01-28,MRNA,159.55,168.0,153.62,154.105,16497369
2021-01-28,BA,197.23,200.42,196.0,198.045,10403214
2021-01-28,TSLA,835.43,848.0,801.0,820.0,26378048
2021-01-28,MSFT,236.46,240.12,232.65,233.17,49625222
2021-01-28,V,196.68,200.45,196.63,198.46,11127149
2021-01-28,MA,322.24,326.93,319.94,325.03,6950184
2021-01-27,AMZN,3232.58,3346.52,3207.08,3341.49,4660158
2021-01-27,AAPL,141.01,143.23,139.37,142.38,141892578
2021-01-27,GOOGL,1818.94,1880.47,1797.28,1874.91,4125631
2021-01-27,FB,272.14,283.45,268.1201,282.53,35346194
2021-01-27,MRNA,155.73,164.55,149.0,151.2,20262915
2021-01-27,BA,194.03,199.47,191.8504,196.9,20948458
2021-01-27,TSLA,864.16,891.5,858.66,870.35,27333955
2021-01-27,MSFT,230.48,237.95,227.75,235.53,70601999
2021-01-27,V,193.48,198.16,192.47,196.1,13879580
2021-01-27,MA,313.5,320.96,311.15,318.34,7496646
2021-01-26,AMZN,3326.13,3338.0,3282.87,3296.3559,2955235
2021-01-26,AAPL,142.11,143.23,140.32,142.55,99123238
2021-01-26,GOOGL,1907.95,1915.75,1876.13,1885.99,1573078
2021-01-26,FB,282.05,285.39,277.81,278.1398,19373636
2021-01-26,MRNA,151.93,154.55,145.0,145.15,16964726
2021-01-26,BA,202.06,208.35,201.79,205.34,11011763
2021-01-26,TSLA,883.09,895.9,871.6,891.38,23131603
2021-01-26,MSFT,229.93,231.75,227.69,229.47,49684275
2021-01-26,V,200.46,201.91,199.43,200.21,9679994
2021-01-26,MA,325.63,328.45,323.76,327.91,3525375
2021-01-25,AMZN,3294.0,3363.89,3243.1463,3328.5,3749758
2021-01-25,AAPL,141.87,144.01,135.54,142.02,158785396
2021-01-25,GOOGL,1894.28,1921.82,1859.16,1912.74,2529346
2021-01-25,FB,278.01,280.1,271.51,278.14,19086990
2021-01-25,MRNA,147.0,147.4299,137.25,138.4,26970870
2021-01-25,BA,203.36,203.8,199.3,203.265,14276235
2021-01-25,TSLA,880.8,900.4,838.8201,855.0,41173397
2021-01-25,MSFT,227.14,227.39,221.88,226.73,33499109
2021-01-25,V,199.44,200.09,194.24,198.8,19432369
2021-01-25,MA,327.12,327.86,315.23,325.45,6297408
2021-01-22,AMZN,3292.23,3321.91,3283.1644,3304.31,2821914
2021-01-22,AAPL,138.03,138.81,134.02,135.28,115311701
2021-01-22,GOOGL,1892.56,1904.39,1876.495,1891.46,1637195
2021-01-22,FB,274.5,278.47,272.0,272.01,21954042
2021-01-22,MRNA,131.02,135.87,128.9,132.5,10067191
2021-01-22,BA,205.84,206.6999,204.27,205.55,7514630
2021-01-22,TSLA,846.64,848.0,828.62,834.31,20066497
2021-01-22,MSFT,223.61,227.68,223.46,224.74,30488491
2021-01-22,V,200.47,203.74,200.25,202.4,7373118
2021-01-22,MA,326.92,333.04,326.84,328.3,3871003
2021-01-21,AMZN,3306.99,3348.55,3289.5675,3293.0,4945051
2021-01-21,AAPL,135.87,138.63,132.6,132.81,121427088
2021-01-21,GOOGL,1884.15,1932.08,1879.41,1893.65,2932973
2021-01-21,FB,272.87,273.6,267.4901,269.26,20838687
2021-01-21,MRNA,132.98,137.0,125.25,125.28,20880838
2021-01-21,BA,207.41,211.93,206.34,211.72,11119827
2021-01-21,TSLA,844.99,855.7199,841.4201,855.0,20598133
2021-01-21,MSFT,222.63,223.96,220.12,222.36,31071419
2021-01-21,V,203.55,205.58,203.16,204.46,6568655
2021-01-21,MA,332.33,334.74,329.66,332.3,3509393
2021-01-20,AMZN,3263.38,3279.8,3175.0,3181.99,5309835
2021-01-20,AAPL,131.05,131.51,127.6,127.71,105096323
2021-01-20,GOOGL,1880.07,1899.7234,1819.51,1826.37,3207570
2021-01-20,FB,267.48,270.32,263.6,268.93,25199919
2021-01-20,MRNA,125.14,126.0101,122.25,124.51,8001568
2021-01-20,BA,211.45,215.59,211.21,213.24,9727036
2021-01-20,TSLA,850.45,859.5,837.28,858.74,25665883
2021-01-20,MSFT,222.0,223.45,215.05,215.45,38172689
2021-01-20,V,204.42,205.6,200.68,201.46,12774342
2021-01-20,MA,332.8,335.79,327.06,327.9,5113251
2021-01-19,AMZN,3120.76,3145.0,3096.0,3107.0,3305142
2021-01-19,AAPL,126.88,127.76,126.01,126.83,91433171
2021-01-19,GOOGL,1784.47,1803.84,1732.83,1743.0,2082951
2021-01-19,FB,261.1,262.2,252.7201,256.9,28028546
2021-01-19,MRNA,125.01,126.36,120.5,122.1,16528897
2021-01-19,BA,210.71,211.52,206.52,206.99,11947219
2021-01-19,TSLA,844.55,850.0,833.0,837.8,25366980
2021-01-19,MSFT,214.2,214.74,210.42,211.53,30799914
2021-01-19,V,200.11,202.58,198.53,201.48,9848056
2021-01-19,MA,323.88,327.06,322.62,324.93,4654539
2021-01-15,AMZN,3104.25,3142.545,3095.17,3123.02,4243995
2021-01-15,AAPL,126.2,129.27,126.06,127.83,112429569
2021-01-15,GOOGL,1727.62,1747.62,1711.71,1729.02,1572214
2021-01-15,FB,251.36,253.86,247.16,247.9,24942930
2021-01-15,MRNA,129.65,133.29,126.58,129.6,15769535
2021-01-15,BA,204.32,209.25,204.2,208.96,11103341
2021-01-15,TSLA,826.16,859.9,819.1,852.0,38777596
2021-01-15,MSFT,210.44,212.29,209.84,211.3,32078814
2021-01-15,V,200.04,201.68,198.88,199.99,8823159
2021-01-15,MA,321.22,327.61,319.85,325.48,7961716
2021-01-14,AMZN,3127.47,3177.9999,3120.59,3167.52,3070919
2021-01-14,AAPL,127.96,130.02,127.81,129.82,90893607
2021-01-14,GOOGL,1730.92,1767.5499,1726.07,1748.87,1460617
2021-01-14,FB,245.64,255.03,244.61,253.4,29739404
2021-01-14,MRNA,129.72,130.98,122.8,122.8,13346728
2021-01-14,BA,209.91,214.19,208.21,208.79,12446820
